route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Sangola (Solapur) to Goa
From INR 675",https://www.redbus.in/bus-tickets/sangola-to-goa,Humsafar Travels,A/C Sleeper (2+1),01:00,06h 30m,07:30,2050,4.0,8 Seats available
"Sangola (Solapur) to Goa
From INR 675",https://www.redbus.in/bus-tickets/sangola-to-goa,Humsafar Travels,A/C Sleeper (2+1),01:00,08h 00m,09:00,1125,4.0,8 Seats available
"Sangola (Solapur) to Goa
From INR 675",https://www.redbus.in/bus-tickets/sangola-to-goa,Humsafar Travels,A/C Sleeper (2+1),01:00,07h 15m,08:15,2050,4.0,8 Seats available
"Calangute (goa) to Goa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:00,01h 45m,11:45,200,3.2,37 Seats available
"Calangute (goa) to Goa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,01h 45m,15:15,200,3.7,40 Seats available
"Calangute (goa) to Goa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,01h 45m,17:15,200,4.2,41 Seats available
"Calangute (goa) to Goa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),18:30,01h 30m,20:00,200,4.8,40 Seats available
"Goa to Sangli
From INR 490",https://www.redbus.in/bus-tickets/goa-to-sangli,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,09h 00m,04:00,490,3.4,31 Seats available
"Goa to Sangli
From INR 490",https://www.redbus.in/bus-tickets/goa-to-sangli,Humsafar Travels,A/C Sleeper (2+1),19:00,07h 35m,02:35,1250,4.0,14 Seats available
"Goa to Sangli
From INR 490",https://www.redbus.in/bus-tickets/goa-to-sangli,Vaibhav Travels,A/C Sleeper (2+1),20:00,09h 40m,05:40,500,3.6,35 Seats available
"Calangute (goa) to Mopa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159017,A/C Seater (2+3),06:00,01h 15m,07:15,200,4.1,47 Seats available
"Calangute (goa) to Mopa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159018,A/C Seater (2+3),07:00,01h 15m,08:15,200,1.8,47 Seats available
"Calangute (goa) to Mopa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159019,A/C Seater (2+3),10:00,01h 15m,11:15,200,3.7,47 Seats available
"Calangute (goa) to Mopa Airport
From INR 200",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159065,A/C Seater (2+3),11:45,01h 15m,13:00,200,3.2,46 Seats available
